Film,Director,tmdbrating,overview,genre
Ovnis en Zacapa,Marcos Machado Loría,5.4,"UFO sightings are reported in northeastern Guatemala. Rober Daneri a frustrated college professor along with the production team of a sensationalist TV show embark on a supernatural journey across the thin boundary between blind faith, self-delusion and the unknown in search of truth.",Comedy
Palomar,Luis R. Garza,5.0,Adan mourns the loss of his family in the house where the used to live.,
Sinestesia,Rodrigo Ortega Ortuño,5.0,"After her first hit of LSD, everything changed, reality was never the same. Martina's mind witnessed other dimensions and her life took a brighter path.",
Yacuna El amor a la vida,Eustaquio del Río,,,
Zanjas,Francisco Joaquín Paparella,3.5,"A portrait of Zamora, a rural worker exiled in Patagonia in a town that suffers feminicides of teenagers thrown into ditches once dead. Through hard work, Zamora intends to expiate his guilt.",Thriller
Plan Virgen,Roberto Fiesco,7.6,"Paula, who is beautiful and full of life, ends with her boyfriend and is left devastated; her friends Fer and Jen decide to create a plan to find her the ideal boy: to find a virgin guy who can fall in love with her.",Comedy
Alba,Ana Cristina Barragán,6.7,"Alba, 11 years old, passes her days in silence. She loves little animals. She has learned to cope with her mother's illness, helping her to use the bathroom. Alba plays silently so that her mother can rest during the day. One night Alba's mother gets worse, and has to be taken to the hospital. With no one else to take care of her, Alba is sent to live with her father, who she hasn't seen since she was three years old. Living with her father is almost unbearable. Embarrassment, her first kiss, visits to mother in the hospital, Edgar's tender efforts to get close to her, and bullying at school; these are some of the experiences that pave Alba's journey to puberty and to self-acceptance.",Drama
Baño de vida,Dalia R. Reyes,6.0,"Immersive documentary which takes us n an intimate journey to the inner life of public baths through the voices of three characters: Felipe, the main clerk since 1984; Juana, a street sweeper in Mexico City's downtown; and Jose, a frequent client of more than forty years. Bath of Life becomes a confessionary for those who gather around the same place: the sauna.",Documentary
Mi sangre enarbolada,Luis Palomino Benítez,0.0,"There are promises that are impossible to keep. My uncle José made such a promise as a child in 1963 to my mother Ana Luisa, to whom he declared a special kind of devotion. There are always bonds like this between siblings establishing mysterious complicites. This is what José declared to little Ana Luisa: ""The day that you die, I´m going to die with you"".",Documentary
El ocaso de las diosas,Carlos Mignon,5.0,"The Mignon sisters try to grow closer and rebuild their relationship between old grudges and terminal cancer. Silvia, the eldest, understands that memory is not static and to heal old wounds, it is necessary to do so from the present. She accompanies Judith, her younger sister, while she fights her illness. The documentary is a portrait of two sisters confronting the concepts of sisterhood and mortality.",Documentary
Lupe bajo el sol,Rodrigo Reyes,5.0,"The story of an aging Mexican migrant who spent his entire life working in the California fields, separated from his family back home. A melancholy alcoholic, one morning he realizes life has rolled past him and he has nothing to show for it. Lupe embarks on existential journey, trying to come to terms with his choices and reconnect with what he left behind.",
Pacífico,Fernanda Romandía,0.0,What starts as a desire to experience nature more intimately develops into a relatable conversation on alternative pathways through life.  Two friends go on a two-year road trip through Latin America. Presenting an insight into long term travel and how engaging in new cultures and environments can help widen our perspective and deepen our understanding of the world we live in. Pacifico forms a discussion around the pros and cons of living in the moment; Showing how slowing down and observing the world mindfully can aid in gaining perspective and broaden an understanding of what is important in life.,Documentary
El Alien y yo,Jesús Magaña Vázquez,5.5,"A punk band decides to hire a keyboard player in order to change their sound, despite the fact that this talented musician has Down Syndrome.",Comedy
La vida inmoral de la pareja ideal,Manolo Caro,6.073,"Lucio and Martina used to share an indescribable chemistry during their highschool years, however, they took separate ways. 25 years later they meet again, but this time they decide to invent an ideal life in order to hide themselves from an inevitable truth: they were really waiting for each other in all of these years.",Comedy
La leyenda del Chupacabras,Alberto Rodríguez,7.1,"Leo San Juan and his team of ""ghostbusters"" continue with their adventures, this time fighting against the mexican monster himself: ""El Chupacabras"".",Animation
Sin dios y sin diablo. Jaime Sabines y sus lectores,Claudio Isaac,0.0,,
Un padre no tan padre (antes/previously El patriarca),Raúl Martínez,,,
Mientras el lobo no está,Joseph Hemsani,7.976,A young teen and his misfit group of friends try to escape from a strict boarding school that holds dangerous secrets.,Mystery
Helena (antes/previously Julieta),Alejandro Sugich,,,
Tus feromonas me matan,Juan Carlos de Llaca,6.2,"A dispute for the inheritance of the father of this family is the motor for this comedy,  where siblings Andrea and Hector start a discussion with their aunt, who turns out to be the universal heiress of their father's because they don't comply with the rules established by their father.",Comedy
Mis demonios nunca juraron soledad,Jorge Leyva,5.0,"A violent and alcoholic gold prospector lives with his wife near the border. She is convinced that a demon is stalking them, and he thinks his wife is cheating on him. Blinded by jealousy, he decides to seek both his wife’s lover and the demon to strike them down.",Horror
La pierde almas (antes/previously Moronga),John Dickie,,,
La voz de un sueño (antes/previously Gotas de Rocío),Analeine Cal y Mayor Martínez del Cerro,,,
La negrada (Black People),Jorge Pérez Solano,,,
Hasta los dientes,Alberto Saúl Arnaut Estrada,7.233,"The parents of two young men assassinated in the drug trafficking war, looking to clean the names of their sons accused of being hired assassins armed to the teeth.",Documentary
Día de Muertos,Danny Huston,6.843,"In the Mexican town of Santa Clara, Salma, a 16 year-old orphan who never got to meet her biological parents, has spent most of her life searching for clues of their identities and whereabouts, that is until she discovers a special book that is filled with stories of the town's past and the history of it's people.",Animation
El guardián de la memoria,Marcela Arteaga Esquerra,0.0,"According to the International Institute for Strategic Studies, Mexico became one of the deadliest conflict zones in the world in 2017, second only to Syria. In 2008, the Mexican government sent the army to Chihuahua on the Mexico-Texas border to fight drug traffickers. What seemed like an attempt to control the cartels turned into state-sponsored disappearances and the murder of journalists, human rights activists and civilians. The survivors and those threatened by the conflict pushed at the unwelcoming border of the United States, hoping for asylum. With stunning visual poetry, director Marcela Arteaga weaves together a record of their memories told over the backdrop of the once-vibrant landscape of the Juarez Valley. She also highlights the extraordinary work of Carlos Spector, an immigration lawyer born in El Paso, Texas, who fights to obtain political asylum for those Mexicans fleeing violence.",Documentary
La promesa,Óscar Alberto Blancarte,5.8,"A psychological thriller about an obsessive compulsive, deeply religious woman who flees her abusive husband and accepts a nanny position for a weatlhy family in a different town. The woman's state of mind is extremely fragile, and is made worse by her visits to a Gothic church where things are not as they seem",Horror
El filósofo y los toros (antes/previously Un filósofo en la arena),Aarón Fernández  Jesús Muñoz,,,
3 idiotas,Carlos Bolado,7.505,A group of friends embark on an adventure to find a classmate from university who disappeared without a trace on graduation day.,Family
La gran promesa (antes/previously Caja oscura),Jorge Ramírez Suárez,,,
Camino a Marte,Humberto Hinojosa,5.545,"Emilia, who suffers from a terminal illness, embarks on a journey with her best friend Violeta. On their way they meet Mark, who claims to be an alien on a mission to destroy the planet for considering humanity (and love) a virus. However, Mark begins to doubt his mission falling in love with Emilia.",Science Fiction
Los adioses (antes/previously Guerra),Natalia Beristáin,,,
Amanda (antes/previously Cómo cortar a tu patán),Gabriela Tagliavini,,,
Cómo matar a un esposo difunto,Conrado Martínez,,,
El día del temblor (antes/previously 1985),Kuno Becker,,,
¡Como va! Lo más sencillo es complicarlo todo,René Bueno,,,
Todos aman a alguien,Catalina Aguilar Mastretta,,,
Restos de viento,Ximena Montemayor,6.6,A family is left adrift after the father's departure. Mother and children will have to grow and let go of their fears in order to survive.,Drama
Las siete muertes (antes/previously Las muertes de Lucía B),Gerardo Herrero,,,
Café: alma y resistencia,Alejandro Díaz San Vicente,,,
Torre,Juan Obregón,0.0,"Four siblings, whose their father disappeared during Brazilian Military Dictatorship, report their childhood during the regime.",Documentary
Coatí,Rodrigo Pérez Castro,0.0,,
Noches de julio,Axel Mishael Muñoz Barba,6.5,"Julio, a young man with few social skills, meets Mara, a girl with whom he shares a weakness for robbing other people's houses.",Drama
Ciudad,Carlos Federico Rossini  Everardo González Reyes  Nicolás Echeverría Ortiz  Tatiana Ixquic Huezo Sánchez  Paul Leduc Rosenzweig,0.0,,Documentary
Roma,Alfonso Cuarón,7.667,"In 1970s Mexico City, two domestic workers help a mother of four while her husband is away for an extended period of time.",Drama
El vendedor de orquídeas,Lorenzo Vigas,3.0,"Oswaldo Vigas, a renowned Venezuelan painter, returns, in his 80s, to the town where he was raised, searching for a painting that was lost during his teenage years. If he finds it, he and his wife, Jeannine, will be able to complete an exhibition about the early stages of his career. This search becomes more than an opportunity to revisit the early influences on his art. During this exploration, he is confronted with a chapter of his youth that marked him for the rest of his life, and defined him as a human being and as a creator. The search for the lost painting, EL VENDEDOR DE ORQUÍDEAS (THE ORCHID SELLER), allows us to discover the human side of one of the most influential artists of Latin America.",Documentary
Tote (Abuelo),María Dolores Arias,,,
Mover un río,Alba Herrera Rivas,0.0,"Before their unjust sentence, the Yaquis Mario and Fernando lead, along with their people, a legal and civil disobedience fight to recover the waters of the Yaqui River.",Documentary
Gone Missing. El último viaje de Juan Viejo,Till Cöster,10.0,"A non-fiction film about three friends seeking traces of an old ""gringo"" who went to die in the jungle of Guatemala. Starting out from the guesthouse in Mexico City where he was seen for the last time, we follow his journey south. New characters appear along the way, people he could have known who share their visions of life and death. The search takes on a life of its own, and leads us deeper into the unknown...",
Zama,Lucrecia Martel,6.7,"In a remote South American colony in the late 18th century, officer Zama of the Spanish crown waits in vain for a transfer to a more prestigious location. He suffers small humiliations and petty politicking as he increasingly succumbs to lust and paranoia.",Drama
Guerrero,Ludovic Bonleux,6.9,"In the state of Guerrero, México, activists Coni, Juan and Mario rebel against impunity, regardless of the sacrifices and risks - even mortal - that their struggles involve.",Documentary
Maricarmen,Sergio Adrián Morkin,0.0,"Maricarmen Graue (52) is a cello player; she plays with a rock band, as well as in a chamber orchestra. She is also a music teacher, a writer and a marathon runner. She lives alone and is completely blind. She copes with her condition by having a biting sense of humor and being fiercely self-demanding. Swaying between laughter and a bare-boned meditation on the act of living, the documentary navigates the labyrinths surrounding this survivor.",Documentary
Notas para no olvidar,Hatuey Joaquín Viveros,0.0,"Piro is a mathematician whose obsessions have been captured in three notebooks; one to keep a rigorous control over his expenses, another to remind himself of the location of the things he collects in case he ever needs them, and one more for the most important events of his life. We will use these notes as a starting point against oblivion, a journey through the lives of three generations of my family.",
Una corriente salvaje,Nuria Ibáñez Castañeda,0.0,"Chilo and Omar seem to be the only two men on earth. They live on a solitary beach and their constant activity is fishing to survive. Their friendship, surrounded by sensuality, becomes a kind of a love story. Through their conversations and their relationship, the film explores and portraits human condition.",Documentary
Laberinto Yoéme,Sergi Pedro Ros,0.0,"Millenary and figsty, the Yaqui tribe defends its existence. Since 2010, Sonora's government diverts illegally 75 million cubic meters of water from the Yaqui River each year. This situation has sparked struggles and resistances. In parallel, the Yaqui people have seen flooded their territory by methamphetamines. Now they search for answers to these external aggressions in the depths of their cultural identity.",Documentary
La ley del monte,Mario Mandujano,7.7,"Monte law begins as a love story in September in the Mexican Revolution years. To seal their oath to love a boy and girl names recorded on a stalk. Years pass and go their separate ways, but one day the man returns to the same place where the tree meets girl turned woman and resume their love, but soon has to leave again because he has to return to the revolution",
El refugio de los insomnes,José Giordano,,,
Takeda,Yaasib Álvaro Vázquez,7.0,Takeda is a film about the universality of the human being seen thru the eyes of a Japanese painter that has adopted the Mexican culture.,Documentary
Rita,Arturo Díaz Santana,0.0,a film opera; music by: Gaetano Donizetti (Philharmonic Orchestra of Rome) Directed by Giuseppe Zedda.,Music
Mente revólver,Alejandro Ramírez Corona,5.3,"Chicali is a young street cop who starts killing for the mafia by an unexpected situation. Mario, locked up for killing the Mexican presidential candidate in 1994 comes out of prison after 20 years of lockup and returns to Tijuana to rebuild his life. Jenny is an American homeless who decides to cross the border to Mexico in order to change her condition. Jenny falls in love with young Chicali, who is assigned to kill Mario.",
El baile y el salón,Iván Porras,,,
Un buen sabor de boca,Jaime Humberto Hermosillo,0.0,"The film tells the embarrassing event that breaks out when the protagonist of a pornographic film fails to fulfill during the filming, his commitment to maintain an indispensable erection in front of the cameras. His impossibility has hilarious consequences, culminating in the arrival of a mysterious character who claims to be a specialist in pornographic videos.",Drama
Opus Zero,Daniel Graham,6.3,"Paul, an American composer, arrives in the desert town of Real de Catorce where his father recently died. For the past ten years, Paul has been consumed with the task of composing an ending for the masterpiece of an early twentieth century musician. Being isolated from the world, he sees an opportunity to finish the symphony. However, Paul is caught up in a new mystery, the disappearance thirty years ago of a woman named Marianne.",Drama
La boda de Valentina,Marcopolo Constance,6.7,Valentina's seemingly idyllic life in the US is interrupted when planning a wedding means introducing her fiancé to her scandalous family in Mexico.,Comedy
La misma sangre,Ángel Linares,5.9,Thriller about a family whose ties are put to the test when the patriarch’s wife dies.,Thriller
Cría puercos,Ehécatl García Jiménez,6.3,"With the death of her husband and the absence of her son, Esmeralda has lost interest in life. Living in a small town, within the walls of her house, she regains hope when a baby pig comes into her life.",Drama
A ti te quería encontrar,Javier Colinas,6.4,,Comedy
Escuela para seductores,Giovanna Zacarías,6.941,"A small seductor pays homage to Mauricio Garces movies. Two years have gone by since Raul suffered a terrible love disappointment that transformed him into Sombra, a master of seduction. Raul shares his don juan secrets with Rodolfo, Luis and Waldo, three funny characters who don´t have any luck with women.",Comedy
Rush Hour,Luciana Kaplan,7.0,"When Hong Kong Inspector Lee is summoned to Los Angeles to investigate a kidnapping, the FBI doesn't want any outside help and assigns cocky LAPD Detective James Carter to distract Lee from the case. Not content to watch the action from the sidelines, Lee and Carter form an unlikely partnership and investigate the case themselves.",Action
Cuando los hijos regresan,Hugo Lara,6.833,A retired couple will have to defend their home against an unpredicted menace: Their kids moving back.,Family
Moctezuma y yo,Issa López,,,
Viviana Rocco. Yo trans,Daniel Reyes,0.0,"Viviana Rocco is a photographer, visual artist, activist, model, actress and trans woman. This documentary takes us inside her life so that through her work she can show us the trans world and give voice to those who are part of a minority.",Documentary
Dispositio,Nila Guiss,0.0,"Dispositio. Place where memory and oblivion fragments are deposited. Poetic documentary that talks about the birth and decay of the physical body of the films. This documentary rescues the beauty of celulloid films, in the form of digitalized fragments of many formats made with nitrate, acetate and polyester. It’s a song about memory, memories, forgetfulness and human evocation.  Our mirrors: the moving images that erode to the extent of becoming dust. The film preservationists fight to prevent it.",Documentary
Los años azules,Sofía Gómez Córdova,5.2,"An old cat and a deteriorating urban villa are witnesses to the drama of five youths living together, who are drastically transformed into a close-knit family by the arrival of a flamboyant housemate.",Drama
Silenciosa,Sofía Medrano,0.0,"The mysterious disappearance of a mountain climber becomes an inscrutable enigma. Ana, the climber’s wife, decides to take up the search herself after two years without any answers.",
Ayotzinapa 26,Fernando Eimbcke  Abraham Escobedo Salas  Dr. Alderete  Paula Markovitch  Aarón Fernández  Julien Devaux  François Olislaeger  Bruno Bichir  Hari Sama  Kenya Márquez  Alberto Reséndiz  Sebastián Hoffman  Jorge Bolado  Pablo Fulguería  Lucía Gajá  Ludovic Bonleux  Mariana Rodríguez  Christine Burkhard  Alex Noppel  Marcello Sahea  Ricardo del Conde  Viviana García.,0.0,26 filmmakers bring their own vision in order to find the truth about the missing students of Ayotzinapa.,
Algo de todos,Isabel María,5.0,,Documentary
Humboldt en México. La mirada del explorador,Ana Cruz Navarro,6.3,"The greatest explorer of the Americas, German scientist Alexander von Humboldt, narrates his voyage to New Spain in 1803 as he prepares his magnum opus Cosmos for publication from his library in Berlin. During his journey, he discovers Mexico’s extraordinary biodiversity; its mineral, volcanic, architectural, and pre-Hispanic richness; and its profound inequalities.",Documentary
Mientras se espera,Paola Villanueva,0.0,"Lola lives in a public nursing home where everything is shared: the clothes, the showers, the only coffin and the endings. Her only personal belonging is the memory of her two great loves: her mother and husband. Thanks to them Lola has something to do every day, going to the main door’s window to check on her husband who lives across the street and to the phone, where she tries to call her mother. Both died long ago, but they are Lola’s only strength to reach her end in a world that, otherwise, is very impersonal for her.",Documentary
American Curious,Gabylú Lara,6.8,A mexican chef meets her love interest in an american man.,Comedy
Donde se quedan las cosas,Daniela Silva Solórzano,0.0,"Federico Solorzano, paleontologist and collector, lives the last months of his life in his house in Guadalajara, Mexico. His collections count over 500 thousand objects ranging over a broad variety of kinds. His granddaughter Daniela dives into them, trying to understand her grandfather and his relationship to the world.",Documentary
A toca do lobo,Catarina Mourão,0.0,"Every family has its secrets, the family of Portuguese filmmaker Mourão included. As the granddaughter of the well-known writer Tomaz de Figueiredo, she picks apart several of them in an intimate yet universally meaningful way. As such, her film also becomes a portrait of dictatorship and resistance and of the urge to create art.",Documentary
Entre pasos y sonidos,Elizabeth Piña Hernández,,,
Los quijotes de la marcha,Florencia Davidzon,,,
País desfragmentado y desigual. De los derechos a los hechos,Araceli Martínez Pérez,,,
Qué comience la función,Mayra Alejandra Toscano Villicaña,,,
La nueva Medellín,Catalina Villar,5.6,"Juan Carlos and his friend Manuel were still teenagers when Catalina Villar first filmed them 18 years ago in Medellin which, at the time, was the most violent city in the world. Soon after, Juan Carlos, the poet, was killed. On the eve of a time of fragile peace, his illiterate parents seek legal compensation. Manuel, who has become the leader of his neighbourhood, is confronted to the paradoxes of urban modernization in a city that has transformed too quickly. The ghost of Juan Carlos rises as a shield against oblivion.",Documentary
Sonali,Paulina Urreta,0.0,"A bright young student prepares herself for the medical admission test which seems to be so important to the whole family. Even though both she & her father is quite confident about her passing the exam, she fails to do so as the leakage of question paper helps the undeserving candidates to get all the seats available. Both the girl & her family's life takes a big turn after this unexpected event.",Drama
Suelo mirar al cielo,Liliana Cortés González,,,
Por donde pasa el diablo,Sofía Castillo  Margot Florestorre,,,
Sobre tus huellas,Luis Yduñate,5.0,,Thriller
El sonido de las células,Martín Amilcar,,,
Mi padrino,Beto Gómez,6.5,Bumbling oaf takes custody of his god-daughter and helps her advance her singing career.,
Ni un minuto que perder,Luis Eduardo Reyes,8.035,"Elisa is an old-fashioned girl who receives the visit of her future self, who advises her to take the risk  and invite Carlos, his best friend, on a date. She has always been attracted to him.",Comedy
Territorio Leonora,Gibrán Bazán,,,
Welcome to Acapulco,Guillermo Iván,5.5,"When Matt Booth sets off to meet his fiance for a foreign wedding he couldn't have imagined the dangerous world he was about to step into. Betrayed and set up, Matt finds himself on the run from the CIA and hired mercenaries, all looking for a package that he has supposedly smuggled through customs. Hunted on all sides, Matt is aided by Agent Adriana Vasquez, a femme fatale with orders of her own to follow.",Action
Paraíso en Auschwitz,Aarón Cohen,,,
Desayuno de perros (Dog ́s Breakfast),Rich Valverde,,,
El lugar de las flores,Héctor I. Jiménez,5.0,"A father lives the difficulties to relate with his children, while the oldest son faces the option of abandoning the tradition of mask making and migrating to the US to escape from a painful past.",
El ruiseñor y la noche. Chavela Vargas canta a Lorca,Rubén Rojo Aura,7.6,"Chavela Vargas and Federico García Lorca are the main characters of this story. Poetry and music are the places of their meetings. Chavela explains when he lived in the same room where Federico García Lorca lived decades ago, was visited by a bird that contained the soul of the Spanish poet. In her last year of life, Chavela fulfills her last wish: to make a tribute to Spanish poet and finally meet him in the ranks of death. The Nightingale and the Night is a documentary that chronicles the transition from Chavela life to death, her union with Federico, dissolving the borders between reality and dreams.",Documentary
Norte estrecho,Omar L. Villarroel,5.5,The legal and illegal status of immigrants and the discrimination endured by a segment whom are only looking to a better way of life.,Drama
Nueva Venecia,Emiliano Mazza de Luca,0.0,"This is a documentary film about a stilt village in the middle of Santa Marta's Marsh, and the passion pushing its inhabitants to build, on the water, a soccer field.",Documentary
Pies ligeros,Juan Carlos Núñez Chavarría,7.0,"The story of two of the best runners Mexico has ever had, and who are now forgotten. These are the lives of Victoriano Churo and Cirildo Chacarito, Raramuri Indians who in the 90’s reached their summit as sportsmen, receiving national and international recognition. However, lack of support for them forced two of the brightest sparks in ultra-marathon to dim out. Now, in the place where they have belonged for so many years, their descendants have a great task —to assert their place as the sturdiest runners in the world.",
Shih,Bruno Zafforra  Rafael Ortega,7.0,"Shih captures the return of Paola Shih to Taiwan to meet with her father after twenty years of separation. Following Paola in her remaking of the relationship and re-adaptation to the taiwanese culture, the film explores the nature of family ties, and its singularities in our modern and globalized world.",
La coartada perfecta (The Hit Producer),Kevin de la Isla,,,
Historia de dos que soñaron,Nicolás Pereda  Andrea Bussmann,,,
Histeria,Carlos Meléndez,4.9,"Histeria is a horror film about six female students attending a supposedly haunted school. As part of a prank, they pretend to be hysterical and are so convincing that the school calls in a witch doctor to “cure” them. However, they soon find themselves faced with some truly mysterious occurrences and a series of grisly deaths that could either be caused by supernatural forces or by one of the girls themselves.",Horror
Malacrianza,Arturo Menéndez,6.0,"The life of a simple piñata salesman named Don Cleo is turned upside down when he falls victim to an extortionist he can’t possibly afford to pay. The harder he tries to raise the funds, the deeper into trouble he  gets. If Don Cleo hopes to survive, he’ll have to face his fears and stand up to his tormentors.",Drama
Forward,Henry Bedwell,6.8,Two assassins will face their most feared demons when fighting themselves right in the very gates of hell.,Horror
Las letras,Pablo Chavarría Gutiérrez,5.8,"Behind the dark, sensuous and almost hallucinatory images, a grim story is smouldering about a school teacher and social activist, who after a questionable trial was convicted for killing four police officers in a Mexican province.",Documentary
La niña de la mina,Jorge Eduardo Ramírez,6.0,"Arter a tourist disappears inside a mine in Guanajuato, Mat Medina a young expert in mine engineering is hired to make a security diagnostic in the mines of a big company.",Thriller
Pink,Paco del Toro,5.0,"Pink is a punk-poet. She's young, beautiful, succesful – but whom of her adorers should she marry? She makes a decision with the help of a calculator. Unfortunately, her first husband is a flop – so there are still two other possibilities...",Romance
Teokari Compañero de camino,Salvador Espinosa Orozco,,,
Erosión,Carlos Underwood  Sergio Santiago,0.0,"Haunted by a failing relationship, Gabe devises a risqué game for escape. He invites Irene to dinner at a lavish mansion. Unhappily married, Irene finds the temptation irresistible when Gabe invites her on a second date. To her surprise, she meets him at a humble suburban home. Playfully, Gabe admits that he broke into both houses for their trysts. A frightened Irene returns to her husband. Unable to make peace with his past, Gabe escalates his pursuit of Irene, who ultimately surrenders to the thrill of abandoning her life and having sex with Gabe in strangers' homes. House after house they push the limits, defying reality by living stolen lives. But is there really an escape from life? And how far can they go before their past catches up with them?",Drama
Mirar morir El ejército en la noche de Iguala,Coizta Grecko,0.0,"On the night from September 26th to 27th, 2014, a group of students, from Ayotzinapa School, was chased, shot and dispersed to different locations of the city of Iguala, Guerrero. Six people died, one in coma and 43 are missing. The perpetrators were members of the local police that acted under direct watch of state and federal forces, as well as the Mexican Army.",TV Movie
Eva no duerme,Pablo Argüero,4.9,"In 1952, Argentina's beloved First Lady, Eva Perón, died of cancer at the age of thirty-three. A renowned embalmer was commissioned by the grieving Juan Perón to preserve her body for display, and Argentines flocked to be near ""Evita"". Three years later, when his government was overthrown by a military coup, Perón fled the country before he could make arrangements for the transportation of his wife's body. The military junta now in control kidnapped the corpse; so afraid were they of Eva's symbolic power that they even made it illegal to utter her name.",Drama
Mañana psicotrópica,Alexandro Aldrete,4.4,"Following a suicide attempt, 19 year old Lito travels from Monterrey to Querétaro to visit his 20 years old cousin Koko; where he joins his group of friends with the intention of selling drugs to pay for a weekend trip to the beaches of Michoacán. Among psychotropic pills, LSD and mushrooms; among improvised friendships and trips to nature, a bond is created reinforcing their friendship; while Lito seems to find the path towards reconciliation.",
Pistola de juguete,Adolfo López,,,
Las aventuras de Itzel y Sonia (antes/previously Itzel y Sonia en busca de los Guardianes del Agua),Fernanda Rivero Gutiérrez,,,
Minezota,Carlos Enderle,4.5,"The girlfriend of a musician wants to have a son, but he doesn't. She meets a couple of mormons who teach her about religion while he meets another woman.",
3 mujeres (o despertando de mi sueño bosnio) 3 zene (or Waking Up From My Bosnian Dream),Sergio Flores Thorija,,,
La selva negra,Saúl Kak  Charles Fairbanks,5.0,"A story of globalization filtered through the fever dream of a Mexican shaman, The Modern Jungle is also an intimate portrait of Zoque culture, commodity fetish, and the predicament of documentary.",Documentary
Mientras se busca al diablo,Danniel Danniel  Diego Gutiérrez,,,
Mexicanos de bronce,Julio Jesús Fernández Talamantes,5.8,"Bullet is released after his third conviction, and struggles to reach success in Hip-Hop and recover his family.",Documentary
