Film,Director,urlmubi
A toca do lobo,Catarina Mourão,https://mubi.com/es/films/the-wolf-s-lair
Entre pasos y sonidos,Elizabeth Piña Hernández,https://mubi.com/es/films/birds-or-how-to-be-one
Los quijotes de la marcha,Florencia Davidzon,https://mubi.com/es/films/don-quixote-de-la-mancha
País desfragmentado y desigual. De los derechos a los hechos,Araceli Martínez Pérez,
Qué comience la función,Mayra Alejandra Toscano Villicaña,https://mubi.com/es/about
La nueva Medellín,Catalina Villar,
Sonali,Paulina Urreta,https://mubi.com/es/cast/sonali-bendre
Suelo mirar al cielo,Liliana Cortés González,https://mubi.com/es/films/what-do-we-see-when-we-look-at-the-sky
Por donde pasa el diablo,Sofía Castillo  Margot Florestorre,https://mubi.com/es/films/les-cinq-diables
Sobre tus huellas,Luis Yduñate,
El sonido de las células,Martín Amilcar,https://mubi.com/es/lists/the-importance-of-sound
Mi padrino,Beto Gómez,https://mubi.com/es/films/the-godfather-part-iii
Ni un minuto que perder,Luis Eduardo Reyes,https://mubi.com/users/3642673
Territorio Leonora,Gibrán Bazán,
Welcome to Acapulco,Guillermo Iván,https://mubi.com/es/films/welcome-to-acapulco
Paraíso en Auschwitz,Aarón Cohen,
Desayuno de perros (Dog ́s Breakfast),Rich Valverde,https://mubi.com/es/films/a-dogs-breakfast
El lugar de las flores,Héctor I. Jiménez,https://mubi.com/es/films/isle-of-flowers
El ruiseñor y la noche. Chavela Vargas canta a Lorca,Rubén Rojo Aura,
Norte estrecho,Omar L. Villarroel,https://mubi.com/es/films/northern-skies-over-empty-space
Nueva Venecia,Emiliano Mazza de Luca,https://mubi.com/es/films/nueva-venecia
Pies ligeros,Juan Carlos Núñez Chavarría,https://mubi.com/es/films/lorena-light-footed-woman
Shih,Bruno Zafforra  Rafael Ortega,https://mubi.com/es/cast/kien-shih
La coartada perfecta (The Hit Producer),Kevin de la Isla,
Historia de dos que soñaron,Nicolás Pereda  Andrea Bussmann,
Histeria,Carlos Meléndez,https://mubi.com/es/films/histeria
Malacrianza,Arturo Menéndez,https://mubi.com/es/films/the-crow-s-nest
Forward,Henry Bedwell,https://mubi.com/es/films/forward-2019
Las letras,Pablo Chavarría Gutiérrez,https://mubi.com/es/films/the-alphabet
La niña de la mina,Jorge Eduardo Ramírez,https://mubi.com/es/films/la-nina-de-la-mina
Pink,Paco del Toro,https://mubi.com/es/cast/pink
Teokari Compañero de camino,Salvador Espinosa Orozco,
Erosión,Carlos Underwood  Sergio Santiago,https://mubi.com/es/films/erosion
Mirar morir El ejército en la noche de Iguala,Coizta Grecko,
Eva no duerme,Pablo Argüero,https://mubi.com/es/films/eva-doesn-t-sleep
Mañana psicotrópica,Alexandro Aldrete,https://mubi.com/es/films/psychotropic-sunrise
Pistola de juguete,Adolfo López,
Las aventuras de Itzel y Sonia (antes/previously Itzel y Sonia en busca de los Guardianes del Agua),Fernanda Rivero Gutiérrez,
Minezota,Carlos Enderle,https://mubi.com/es/films/minnesota-clay
3 mujeres (o despertando de mi sueño bosnio) 3 zene (or Waking Up From My Bosnian Dream),Sergio Flores Thorija,https://mubi.com/es/films/3-zene-or-waking-up-from-my-bosnian-dream
La selva negra,Saúl Kak  Charles Fairbanks,https://mubi.com/es/films/the-modern-jungle
Mientras se busca al diablo,Danniel Danniel  Diego Gutiérrez,https://mubi.com/es/films/les-cinq-diables
Mexicanos de bronce,Julio Jesús Fernández Talamantes,
Santa Teresa y otras historias,Nelson de los Santos Arias,https://mubi.com/es/films/santa-teresa-and-other-stories
"Treintona, soltera y fantástica",Chava Cartas,https://mubi.com/es/films/treintona-soltera-y-fantastica
La vieja escuela,Alejandro Soltero,
El chico de Oklahoma,Julio Carlos Ramos Zapata,https://mubi.com/es/films/the-oklahoma-kid
Panoramas,Rodrigo Guardiola  Gabriel Cruz Rivas,https://mubi.com/es/films/zoe-panoramas
Bonsai,Alex Andonie,https://mubi.com/es/films/bonsai-2016
El salmón,Janett Juárez  Ricardo Martez,https://mubi.com/es/films/salmon
Casi paraíso,Pablo Narezo,https://mubi.com/es/cast/mariana-chenillo
La muñeca fea,Claudia López García  George Reyes,https://mubi.com/es/films/welcome-to-the-dollhouse
Te prometo nunca regresar,Pepe Gutiérrez García,https://mubi.com/es/films/i-promise-you-never-to-come-back
El navegante de fin de semana (The Weekend Sailor),Bernardo Arsuaga,https://mubi.com/es/films/the-weekend-sailor
En la periferia,Alberto Zúñiga Rodríguez,https://mubi.com/es/films/periferia
El mural no es como lo pintan,Paula Calzada  Héctor Falcón Villa  Karol Yáñez,
La huésped,Pedro Pablo de Antuñano Padilla,https://mubi.com/es/films/the-host-2013
Allá en la Costa Grande,Érick Rams,
El ombligo del cocoshle,David Antonio Martínez Pinacho,
El tercer espacio,Nejemye Tenenbaum,
Bastidores,Anaïs Huerta  Carlos Mignon  Bruno Bancalari  Paulina del Paso  Raúl Cuesta  Rodrigo VVG  Carlos Muñoz  Juliana Gómez,https://mubi.com/es/films/back-stage
Hermanos,Laura Plancarte,https://mubi.com/es/films/brothers-2009
Vidas con sabor,Pablo Gasca Gollás,https://mubi.com/es/lists/%E2%99%A9
Las reglas de la ruina,Víctor Osuna,https://mubi.com/es/films/slaughterhouse-rulez
Nerdertal,Ricardo Gómez Villanueva,https://mubi.com/es/films/neandertal
Jondo,Alfredo Ruiz,https://mubi.com/users/7088044
Poor People Relax Me,Miguel Ferráez  Clara Winter,
Cuando la vida no vale nada El mural,Ricardo Arenas,https://mubi.com/es/films/la-vida-no-vale-nada
The Public Image is Rotten,Tabbert Fiiller,https://mubi.com/films/the-public-image-is-rotten
Calypsonians,Anghelo Taylor  Damien Prouvost,https://mubi.com/es/cast/roy-fraser-and-his-calypsonians
Tatami El lugar menos hostil,David Torres,
La leyenda del Charro Negro,Alberto Rodríguez,https://mubi.com/es/films/la-leyenda-del-charro-negro
Detrás de la máscara La película documental de Rayo de Plata,Anubis Alejandro López Martínez,
Le Bouquiniste (El buquinista),Gibrán Bazán,
Feliz año Tijuana,Andrew van Baal,
Después del azul,Octavio Gasca,https://mubi.com/es/films/three-colors-blue
La segunda dama,Omar Oswaldo G. Aceves,https://mubi.com/es/films/the-second-woman
Incertidumbre,Haroldo Fajardo,https://mubi.com/es/films/the-uncertainty-principle
Vlog Vampire,Mayen Briem,
Etapas,Juan Pablo Cantú,https://mubi.com/es/films/druk
El callejón,Carolina Duarte,https://mubi.com/es/films/blind-alley-2011
Alex Winter,César Demian,https://mubi.com/es/cast/alex-winter
"I am God, Dogma I",Jorge Bolado,https://mubi.com/es/films/naan-kadavul
El día que conocí a María,Orlando Álvarez  Ariana García,
Entraña,Jair Torres Baizabal,https://mubi.com/es/films/entrana
El fin de la virtud,Abel B. Zuni,https://mubi.com/es/cast/angel-luis-fernandez
Hale Bopp,Jarib Zagoya Montiel,
La palabra de Pablo,Arturo Menéndez,https://mubi.com/es/films/the-power-of-speech
La caótica vida de Nada,Marta Hernaiz Pidal,https://mubi.com/es/films/the-chaotic-life-of-nada-kadic
La batalla del volcán,Julio López Fernández,https://mubi.com/es/films/under-the-volcano
Jazmines en Lídice,Rubén Sierra Salles,https://mubi.com/es/films/jasmines-in-lidice
Yo Fausto,Julio Berthely,https://mubi.com/es/films/i-faust
Island of the Dolls (La Isla de las muñecas),Sebastián Mantilla,https://mubi.com/es/films/island-of-the-dolls
Arritmia,Gibrán Bazán,https://mubi.com/es/films/arrhythmia
 Las hijas de Abril,Michel Franco,https://mubi.com/es/films/april-s-daughter
 Gente de mar y viento,Ingrid Eunice  Fabián González,
 Al otro lado del muro,Pau Ortiz,https://mubi.com/es/films/al-otro-lado-del-mar
 Verónica,Carlos Algara  Alejandro Martínez Beltrán,https://mubi.com/es/films/veronica-2017
 Hazlo como hombre,Nicolás López,https://mubi.com/es/films/hazlo-como-hombre
 El silencio es bienvenido,Gabriela García Rivas,https://mubi.com/es/films/el-silencio-es-bienvenido
 Artemio,Sandra Luz López Barroso,https://mubi.com/es/films/artemio
 Witkin & Witkin. Un fotógrafo y un pintor,Trisha Ziff,https://mubi.com/es/films/witkin-witkin
 Casi una gran estafa,Guillermo Barba,https://mubi.com/es/films/the-hoax
Feral,Andrés Eichelmann Kaiser,https://mubi.com/es/films/feral-2018-andres-e-kaiser
Nadie sabrá nunca,Jesús Torres,https://mubi.com/es/films/no-one-will-ever-know
El habitante,Guillermo Amoedo,https://mubi.com/es/films/el-habitante
Siempre andamos caminado,Dinazar Urbina Mata,
La compañía que guardas,Diego Gutiérrez,https://mubi.com/es/films/the-company-you-keep-2017
Una mujer sin filtro,Luis Eduardo Reyes,
El sembrador,Melissa Elizondo Moreno,https://mubi.com/es/films/the-sower-2018
Mapa de sueños latinoamericanos,Martín Weber,https://mubi.com/es/films/mapa-de-suenos-latinoamericanos
Pacífico Norte,Valentina Sachetti,
Una isla en el continente,Juan Pablo Miquirray,https://mubi.com/es/films/an-island-in-the-continent
La lengua de la lluvia/Tu ́un savi,Uriel López España,
Detrás de la montaña,David R. Romay,https://mubi.com/es/films/beyond-the-mountain
Donde nace la vida,Carlos Reygadas,https://mubi.com/es/showing
El actor principal,Paula Markovitch,https://mubi.com/es/cast/benicio-del-toro
Clases de historia,Marcelino Islas Hernández,https://mubi.com/es/films/history-lessons-2018
La mala noche,Gabriela Calvache,https://mubi.com/es/films/mala-noche
Ricochet,Rodrigo Fiallega,https://mubi.com/es/films/ricochet-2020
Vaquero del medio día,Alicia Cárdenas,https://mubi.com/es/films/vaquero-del-mediodia
Hasta que la boda nos separe,Santiago Limón,https://mubi.com/es/films/hasta-que-la-boda-nos-separe-2020
Los inquilinos,Iria Gómez Concheiro,https://mubi.com/es/films/the-tenant
Azul intenso,Roberto Hernández Ruiz,https://mubi.com/es/films/dark-blue-world/cast
Los poetas del cielo,Emilio Maillé,https://mubi.com/films/poets-of-the-sky
Daniela y Tania,Salomón Askenazi,https://mubi.com/es/films/two-times-you
"Tlalocan, bajo la ciudad de los dioses",Juan Roberto Mora Catlett  Carlos Rodrigo Montes,
Los hermanos Márquez Castillo,Mark Alazraki  Fernando Rovzar,
Luciérnagas,Bani Khoshnoudi,https://mubi.com/es/films/luciernagas
Malibú,Víctor Manuel Velázquez,https://mubi.com/es/films/malibu-2020
Las niñas bien,Alejandra Márquez Abella,https://mubi.com/es/films/the-good-girls
Guachicolero,Edgar Nito,https://mubi.com/es/films/the-gasoline-thieves
Allá en el rancho,Rafael Montero,https://mubi.com/es/films/out-on-the-big-ranch
Loca por el trabajo,Luis Eduardo Reyes,
Pájaros de verano,Ciro Guerra  Cristina Gallego,https://mubi.com/es/films/birds-of-passage
Asfixia,Kenya Márquez,https://mubi.com/es/films/choke
La marca del demonio,Armando Casas,https://mubi.com/es/films/mark-of-the-devil-2020
El ídolo,Erwin Neumaier,https://mubi.com/es/films/el-idolo
Compulsión,Batán Silva,https://mubi.com/es/films/compulsion-2017
Museo,Alonso Ruizpalacios,https://mubi.com/es/films/museum-2018
Dibujando el cielo,Ana Laura Calderón Montiel,
El complot mongol,Sebastián del Amo,https://mubi.com/films/the-mongolian-conspiracy
Bayoneta,Kyzza Terrazas,https://mubi.com/es/films/bayoneta
La ruta de los caídos,Alejandro Springall,https://mubi.com/es/films/when-angels-fall
Ni tú ni yo,Noé Santillán-López,https://mubi.com/es/films/ni-tu-ni-yo
El pequeño gran hombre,Jorge Ramírez-Suárez,https://mubi.com/es/films/little-big-man
Souvenir,Armond Cohen,https://mubi.com/es/films/the-souvenir
Placa de acero,Abe Rosenberg,
Ni tú ni nadie,Gabriel Guzmán,
Nahui,Gerardo Tort,https://mubi.com/es/films/nahui
 Si yo fuera tú,Alejandro Lubezki,
 Más allá de la herencia,Alejandro González Padilla,
 Tod@s caen,Ariel Winograd,https://mubi.com/es/films/tod-s-caen
"Emma, Dios y el fútbol",Julio Bárcenas,https://mubi.com/es/films/emma-2019
Cómprame un revólver,Julio Hernández Cordón,https://mubi.com/es/films/buy-me-a-gun
Los vientos de Santa Ana,Samuel Isamu Kishi Leopo,
La camarista,Lila Deisse Avilés Solís  Juan Carlos Márquez Cervantes,https://mubi.com/es/films/the-chambermaid-2018
La perla de Marina,Daniela Elena Alatorre,https://mubi.com/es/films/retreat-2019
Cuando cierro los ojos,Michelle Enedina,https://mubi.com/es/films/when-i-shut-my-eyes
"Cometa. Él, su perro y su mundo",Leonardo Arturo Domínguez,
Gigantes descalzos,Álvaro Priante  Iván Roiz,https://mubi.com/es/films/gigantes-descalzos
Cantadoras. Memorias de vida y muerte en Colombia,María Fernanda Carrillo Sánchez,
Truenos de San Juan,Santiago Maza,https://mubi.com/films/the-thunder-feast
Giro climático,Antonio Isordia  Michelle Ibaven  Carlos Armella  Teresa Camou  Sergio Blanco  Roberto Olivares  Eleonora Isunza  Gustavo Martínez Ballesté,https://mubi.com/films/cambio-climatico-desde-mi-region-un-fenomeno-que-nos-afecta-a-todos
Regreso al origen,María José Glender de Mucha,https://mubi.com/es
Hasta gritar gol,José Rubén Hernández Torres,
Rock Staff,Leonardo Orozco,https://mubi.com/es/lists/rock-n-roll-films
Talacheros F.C.,Gabriel Villegas  Mariano V. Osnaya,
El Tecolote,Jaime Rogel,
Los atardeceres rojos,Emilio Aguilar Pradal,https://mubi.com/es/films/los-atardeceres-rojos
La danza de las fieras,Miguel Ángel Fernández  Ana Díez  Rodrigo Ruíz Patterson  Gina Herrera,https://mubi.com/es/films/the-dance-of-reality
Jefe de jefes,Olallo Rubio,
Los ofendidos,Marcela Zamora Chamorro,https://mubi.com/es/films/aftermath/ratings
Día de visita,Nicole Opper,https://mubi.com/es/films/the-visit-2015-m-night-shyamalan
Ruinas tu reino,Pablo Escoto,https://mubi.com/es/films/ruinas-tu-reino
Casa Roshell,Camila José Donoso,https://mubi.com/es/films/casa-roshell
El carnaval de Oruro en Iztacalco,Sergio Sanjinés Franck,
La tierra aún se mueve,Pablo Chavarría Gutiérrez,https://mubi.com/es/films/still-the-earth-moves-2017
Pólvora y gloria,Viktor Jakovlesk,https://mubi.com/es/films/pain-and-glory
Amir,José Paredes,https://mubi.com/es/films/amir
Mujeres de manos cálidas,Adrián Macías Díaz,https://mubi.com/es/lists/the-power-of-women
La posesión de Altaír. 1974,Víctor Dryere,https://mubi.com/films/-1974
Lucha México,Alex Hammond  Ian Markiewicz,https://mubi.com/it/films/lucha-mexico
Las Chuntá,Genevieve Roudané,
Paraíso perdido,Oliver Victoria,https://mubi.com/es/films/paradise-lost-2018
Como te ves me vi,Germán Quintero,https://mubi.com/films/como-te-ves-me-vi
Bombay,Javier Ávila,https://mubi.com/es/films/bombay
Omar & Gloria,Jimmy Cohen,https://mubi.com/es/films/omar-gloria
Rojo paraíso,Alberto Amador,https://mubi.com/es/lists/paris
La vida que elegimos,Rocke Killingan,
Discolocos,David Dávila Herrera,
Anadina,Raúl Fuentes,https://mubi.com/es/films/undine-2020
Chasing Niagara,Rush Sturges,https://mubi.com/es/films/chasing-niagara
Rocío,Darío Guerrero,https://mubi.com/es/cast/rocio
Ayer maravilla fui,Gabriel Mariño,https://mubi.com/es/films/yesterday-wonder-i-was
Cuadros en la oscuridad,Paula Markovitch,
Despertar,Soley Bernal,https://mubi.com/es/films/despertar
Volverá el polvo a la tierra,Alejandro Soltero,
Fábulas de almas perdidas,Roberto Pacheco  Sinhué F. Benavides  Agustín Oso Tapia  Yuliana Barco  Jerónimo Barriga  Davek Carrizosa  Grecia Castellanos  A.J. Gómez,
El pensamiento del arte,Arturo Sezmer  Lorenzo Lagrava,https://mubi.com/es
Sinvivir,Anaïs Pareto Onghena,
El autor,Manuel Martín Cuenca,https://mubi.com/es/films/the-ghost-writer
Romina,Diego Cohen,https://mubi.com/es/films/romina
Atrás hay relámpagos,Julio Hernández Cordón,https://mubi.com/es/films/atras-hay-relampagos
El dibujante (The Drawer Boy),Arturo Pérez Torres,https://mubi.com/es/films/the-drawer-boy
Cómplices,Luis Eduardo Reyes,https://mubi.com/es/films/complices-2018
La cocina de Las Patronas,Javier García,https://mubi.com/es/films/la-cocina-de-las-patronas
Recuperando el paraíso,José Arteaga  Rafael Camacho,https://mubi.com/es/films/retrieving-paradise
Deseos,Flavio Florencio,https://mubi.com/es/films/desires
FemDom Dominación femenina,Christian González,
Un mundo raro Canciones de José Alfredo Jiménez,Iván López-Barba  Rubén R. Bañuelos,
México bárbaro II,Abraham Sánchez  Carlos Meléndez  Christian Cueva  Diego Cohen  Fernando Urdapilleta  Lex Ortega  Michelle Garza  Ricardo Farías  Sergio Tello,https://mubi.com/es/films/mexico-barbaro-ii
Cinderello,Beto Gómez,https://mubi.com/es/films/cinderella-2021
Un año de miradas al azar,Roberto Sánchez Santos,https://mubi.com/es/films/the-racer-and-the-jailbird/ratings
El brujo de Apizaco,Rodrigo Lebrija,
Memorias de lo que nunca fue,Leopoldo Laborde,https://mubi.com/es/films/boy-undone
El ombligo de Guie ́dani,Xavi Sala,https://mubi.com/es/films/guie-dani-s-navel
Lejos del sentido,Olivia Luengas,https://mubi.com/es/films/away-from-meaning
La era de la desconexión,Cristóbal González,https://mubi.com/es/films/disconnect-2012
La tercera raíz Buscando el origen del son jarocho,Allen Reed Rickert  Camilo Nu,
Mes nuits feront écho (Mis noches harán eco),Sophie Goyette,https://mubi.com/es/films/mes-nuits-feront-echo
La metamorfosis de Magdalena,Jorge Juvenal Arreola,
Cine lotería,Eduardo Luis Argüelles,https://mubi.com/es/cast/charles-neilson-terry
El pez (Le poisson),Martin Verdet,https://mubi.com/es/films/the-smoking-fish
MetaFilm,Jesús Rodríguez Chiva,https://mubi.com/es/lists/metacinema
Mirreyes contra Godínez,Chava Cartas,https://mubi.com/es/films/mirreyes-contra-godinez
Réplica,Oliver Victoria  Axel M. Espino  Carlos Reygadas  Everardo González  Santiago Arriaga  Vanessa Vidal  Jacaranda Correa  Santiago Fábregas,https://mubi.com/es/films/replica
Nunca lo tuvieron Una velada con Bukowski,Mateo Borgardt,https://mubi.com/es/cast/charles-bukowski
El Chapulín Colorado 3D,Roberto Gómez Fernández,https://mubi.com/es/films/el-chapulin-colorado
Silencio,Lorena Villarreal,https://mubi.com/es/films/silence-2015
Eres mi pasión/ El fútbol o yo,Anwar Safa,https://mubi.com/films/eres-mi-pasion
Ya veremos,Pitipol Ybarra,
Este soy,Verónica Velasco  Epigmenio Ibarra,https://mubi.com/es/films/soy-libre-2021
Ánima,Kuno Becker,https://mubi.com/es/films/anima-2019
Masacre en Teques ,Rodrigo Hernández Cruz,
Dulces tentaciones,Óscar Blancarte,
Preludio a una siesta,Mariana H. Menchaca,
La boda de la abuela,Javier Colinas,
Hugo Sánchez,Francisco Javier Padilla,https://mubi.com/es/cast/hugo-sanchez
Semillas contra el despojo,María Antonieta de la Puente Díaz,https://mubi.com/films/seeds-against-dispossession
Sin origen,Rigoberto Castañeda,https://mubi.com/es/films/sin-origen
"Ok, está bien",Gabriela Ivette Sandoval Torres,https://mubi.com/es/films/ok-it-s-fine
Buscando al lobo (Finding the Werewolf),Rodrigo Iturralde Álvarez y Georgina González Rodríguez,https://mubi.com/es/lists/b-w-werewolves-1935-1963
Yo no estoy aquí,Fernando Frías,https://mubi.com/es/films/i-m-no-longer-here
Chicuarotes,Gael García Bernal,https://mubi.com/es/films/chicuarotes
Mano de obra,David Zonana,https://mubi.com/es/specials/jessica-sarah-rinland
Lucha de gigantes,Humberto Hinojosa,
